Tanggal,Misi
"Wednesday, 15 April 2026",Setoran ayat 2 ayat
"Wednesday, 15 April 2026",Mendapatkan bintang 5 saat murajaah sebanyak 2 kali
"Wednesday, 15 April 2026",Membaca surah Al-Alaq di Fitur Khatam Qur’an
"Wednesday, 15 April 2026",
"Thursday, 16 April 2026",Setoran ayat 5 ayat
"Thursday, 16 April 2026",Mencatat amalan hari ini
"Thursday, 16 April 2026",Murajaah surah Al-Mulk
"Thursday, 16 April 2026",
"Friday, 17 April 2026",Bagikan pencapaian belajar 5 kali
"Friday, 17 April 2026",Mendapatkan bintang 5 saat murajaah sebanyak 10 kali
"Friday, 17 April 2026",Membaca dan menyelesaikan counter dzikir pagi
"Friday, 17 April 2026",
"Saturday, 18 April 2026",Menyelesaikan kuis spesial : Sebisaku
"Saturday, 18 April 2026",Menyelesaikan 5 materi di bab Tajwid
"Saturday, 18 April 2026",Mendapatkan bintang 3 atau lebih saat murajaah sebanyak 4 kali
"Saturday, 18 April 2026",
"Sunday, 19 April 2026",Mendengarkan murottal Ali-Imran
"Sunday, 19 April 2026",Menyelesaikan 6 materi
"Sunday, 19 April 2026",Murajaah 15 ayat
"Sunday, 19 April 2026",
"Monday, 20 April 2026",Setoran ayat 2 ayat
"Monday, 20 April 2026",Murajaah surah Al-Lail
"Monday, 20 April 2026",Mencatat amalan hari ini
"Monday, 20 April 2026",Mendengarkan murottal di Qur’an sebanyak 2 surah
"Tuesday, 21 April 2026",Menabung di Fitur Kurban Sebisaku
"Tuesday, 21 April 2026",Murajaah 5 surah
"Tuesday, 21 April 2026",Menyelesaikan 6 materi di bab Tajwid
"Tuesday, 21 April 2026",
"Wednesday, 22 April 2026",Setoran ayat 5 ayat
"Wednesday, 22 April 2026",Bagikan pencapaian belajar 3 kali
"Wednesday, 22 April 2026",Mendengarkan murottal di Qur’an sebanyak 2 surah
"Wednesday, 22 April 2026",
"Thursday, 23 April 2026",Mencatat amalan hari ini
"Thursday, 23 April 2026",Membaca dan menyelesaikan counter dzikir petang
"Thursday, 23 April 2026",Mendapatkan bintang 5 saat murajaah sebanyak 8 kali
"Thursday, 23 April 2026",Mengulang 5 materi yang sudah dipelajari
"Friday, 24 April 2026",Membaca surah Al-Mulk di Fitur Khatam Qur’an
"Friday, 24 April 2026",Mencatat amalan hari ini
"Friday, 24 April 2026",Murajaah 7 surah
"Friday, 24 April 2026",
"Saturday, 25 April 2026",Menyelesaikan kuis spesial : Sebisaku
"Saturday, 25 April 2026",Menyelesaikan 6 materi
"Saturday, 25 April 2026",Murajaah surah Al-Ghasyiyah
"Saturday, 25 April 2026",Dapatkan skor 70% dalam 5 latihan
"Sunday, 26 April 2026",Mengulang 10 materi yang sudah dipelajari
"Sunday, 26 April 2026",Membaca surah Ad-Dukhan di Fitur Khatam Qur’an
"Sunday, 26 April 2026",Mendengarkan murottal di Qur’an sebanyak 2 surah
"Sunday, 26 April 2026",
"Monday, 27 April 2026",Setoran ayat 7 ayat
"Monday, 27 April 2026",Mencatat amalan hari ini
"Monday, 27 April 2026",Membaca dan menyelesaikan counter dzikir setelah shalat
"Monday, 27 April 2026",Dapatkan skor 80% dalam 5 latihan
"Tuesday, 28 April 2026",Menabung di Fitur Kurban Sebisaku
"Tuesday, 28 April 2026",Murajaah 5 surah
"Tuesday, 28 April 2026",Kerjakan ujian bab Tajwid
"Tuesday, 28 April 2026",Mencatat amalan hari ini
"Wednesday, 29 April 2026",Bagikan pencapaian belajar 2 kali
"Wednesday, 29 April 2026",Murajaah surah Al-Infitar
"Wednesday, 29 April 2026",Menyelesaikan 8 materi di bab Tajwid
"Wednesday, 29 April 2026",Mendengarkan murottal di Qur’an sebanyak 3 surah
"Thursday, 30 April 2026",Mendengarkan murottal surah Al-Kahf
"Thursday, 30 April 2026",Mencatat amalan hari ini
"Thursday, 30 April 2026",Murajaah 3 surah
"Thursday, 30 April 2026",Setoran ayat 3 ayat
"Friday, 1 May 2026",Mendapatkan bintang 5 saat murajaah sebanyak 6 kali
"Friday, 1 May 2026",Menyelesaikan 5 materi di bab Hijaiyah
"Friday, 1 May 2026",Mendengarkan murottal surah Al-Mulk
"Friday, 1 May 2026",
"Saturday, 2 May 2026",Mencatat amalan hari ini
"Saturday, 2 May 2026",Murajaah 3 surah
"Saturday, 2 May 2026",Dapatkan skor 75% dalam 3 latihan
"Saturday, 2 May 2026",
"Sunday, 3 May 2026",Bagikan pencapaian belajar 2 kali
"Sunday, 3 May 2026",Membaca surah An-Naba di Fitur Khatam Qur’an
"Sunday, 3 May 2026",Murajaah surah Al-Jinn
"Sunday, 3 May 2026",Menabung di Fitur Kurban Sebisaku
"Monday, 4 May 2026",Menyelesaikan 5 materi di Bab Tajwid
"Monday, 4 May 2026",Dapatkan skor 80% dalam 2 latihan
"Monday, 4 May 2026",Setoran ayat 5 ayat
"Monday, 4 May 2026",
"Tuesday, 5 May 2026",Murajaah 2 surah
"Tuesday, 5 May 2026",Menyelesaikan 5 materi
"Tuesday, 5 May 2026",Membaca dan menyelesaikan counter dzikir petang
"Tuesday, 5 May 2026",
"Wednesday, 6 May 2026",Setoran ayat 5 ayat
"Wednesday, 6 May 2026",Mendengarkan murottal di Qur’an sebanyak 2 surah
"Wednesday, 6 May 2026",Dapatkan skor 80% dalam 3 latihan
"Wednesday, 6 May 2026",
"Thursday, 7 May 2026",Mendapatkan bintang 3 atau lebih saat murajaah sebanyak 5 kali
"Thursday, 7 May 2026",Mencatat amalan hari ini
"Thursday, 7 May 2026",Murajaah 7 ayat
"Thursday, 7 May 2026",Kerjakan ujian bab Tajwid
"Friday, 8 May 2026",Menyelesaikan kuis spesial : Sebisaku
"Friday, 8 May 2026",Mengulang 3 materi yang sudah dipelajari
"Friday, 8 May 2026",Bagikan pencapaian belajar 2 kali
"Friday, 8 May 2026",Mencatat amalan hari ini
"Saturday, 9 May 2026",Murajaah surah Al-Lahab
"Saturday, 9 May 2026",Menyelesaikan 3 materi di bab Hijaiyah
"Saturday, 9 May 2026",Mendengarkan murottal Ar-Rahman
"Saturday, 9 May 2026",Murajaah 10 ayat
"Sunday, 10 May 2026",Menyelesaikan 5 materi di Bab Tajwid
"Sunday, 10 May 2026",Membaca surah An-Nazi'at di Fitur Khatam Qur’an
"Sunday, 10 May 2026",Menabung di Fitur Kurban Sebisaku
"Sunday, 10 May 2026",
"Monday, 11 May 2026",Mencatat amalan hari ini
"Monday, 11 May 2026",Mendengarkan murottal Al-Baqarah
"Monday, 11 May 2026",Membaca dan menyelesaikan counter dzikir setelah shalat
"Monday, 11 May 2026",
"Tuesday, 12 May 2026",Mendapatkan bintang 5 saat murajaah sebanyak 2 kali
"Tuesday, 12 May 2026",Membaca surah Al-Alaq di Fitur Khatam Qur’an
"Tuesday, 12 May 2026",Setoran ayat 3 ayat
"Tuesday, 12 May 2026",
"Wednesday, 13 May 2026",Mencatat amalan hari ini
"Wednesday, 13 May 2026",Murajaah surah At-Takwir
"Wednesday, 13 May 2026",Bagikan pencapaian belajar 5 kali
"Wednesday, 13 May 2026",
"Thursday, 14 May 2026",Mendapatkan bintang 5 saat murajaah sebanyak 6 kali
"Thursday, 14 May 2026",Membaca dan menyelesaikan counter dzikir pagi
"Thursday, 14 May 2026",Menyelesaikan kuis spesial : Sebisaku
"Thursday, 14 May 2026",
"Friday, 15 May 2026",Menyelesaikan 3 materi di bab Tahsin
